unique_id,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,mean_bfi_a,mean_bfi_o,mean_bfi_c,mean_bfi_e,mean_bfi_n,age,sex,D_Score,exclude_iat,exclude_impossible_data,exclude_incomplete_data,exclude_participant
440109,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,3,3,5,5,5,5,2,2,2,4,2,4,2,3,3,4,6,4,3,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.777777777777778,2.625,3.875,46,f,-0.3998360512190347,include,include,include,include
355243,4,4,4,4,4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,6,4,5,4,5,3,4.222222222222222,4.4,NA,NA,NA,27,m,-0.3434216186309965,include,include,include,include
214625,2,4,4,4,5,6,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,6,4,4,3,4,5,4.333333333333333,4.2,NA,NA,NA,20,f,-0.3807108630693079,include,include,include,include
214148,1,4,6,4,4,2,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,4,4,4,4,2,4,5,3.5555555555555554,3.8,NA,NA,NA,20,m,0.11637294476883331,include,include,include,include
213400,5,4,6,3,5,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,5,2,3,3,4,1,5,3,NA,NA,NA,29,f,-0.2559084153616312,include,include,include,include
216503,4,5,1,2,4,2,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,5,5,4,5,5,6,3,3.3333333333333335,4.8,NA,NA,NA,33,f,0.21209069738980843,include,include,include,include
369479,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,2,3,6,4,6,3,6,4,4,5,5,5,4,6,2,2,4,5,3,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.222222222222222,4.875,3,28,f,-0.15485518453796526,include,include,include,include
220525,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,3,5,6,6,6,3,6,3,3,5,3,6,1,5,4,5,5,4,4,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4.25,33,f,0.17211157816499234,include,include,include,include
225948,3,5,4,3,2,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,5,5,6,4,6,6,3.5555555555555554,5.3,NA,NA,NA,23,m,-0.5165614475236541,include,include,include,include
227399,2,3,2,3,4,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,5,3,2,4,3,5,3,2.3333333333333335,3.9,NA,NA,NA,16,m,0.10128785747529007,include,include,include,include
228671,5,5,6,6,5,3,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,5,5,6,5.333333333333333,4.9,NA,NA,NA,18,f,-0.47792567274045583,include,include,include,include
232178,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,3,3,2,5,2,2,4,3,2,NA,3,5,2,4,6,5,6,6,6,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3333333333333335,3.2857142857142856,5.625,27,m,-0.35078270430631386,include,include,exclude,exclude
232474,4,6,5,4,5,3,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,6,6,6,4.222222222222222,5.9,NA,NA,NA,30,m,-0.03987338126605477,include,include,include,include
233978,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,3,6,6,5,5,3,4,2,5,4,3,5,3,6,2,2,4,2,1,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2.5,44,m,-0.560702130589431,include,include,include,include
235367,1,2,4,5,2,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,5,5,5,4,4,6,2.3333333333333335,5.2,NA,NA,NA,21,m,0.10893215777285095,include,include,include,include
238241,5,5,6,5,6,2,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,4,5,4,5,3,5,5,4.555555555555555,4.6,NA,NA,NA,51,f,-0.6261674814615079,include,include,include,include
239346,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,4,5,5,6,5,6,6,5,5,5,4,5,6,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.333333333333333,5.25,4,20,f,-0.08604037328148856,include,include,include,include
241587,5,5,2,4,6,2,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,6,6,6,5,5,4,5,5,4.111111111111111,5.1,NA,NA,NA,41,f,-0.5625180069585218,include,include,include,include
243747,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,3,2,3,5,5,4,4,5,3,3,3,5,2,5,4,3,4,4,2,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.75,3.375,23,f,-0.13651781625696807,include,include,include,include
245717,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,4,4,4,4,3,2,1,3,3,1,3,2,3,4,3,3,4,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.222222222222222,2.25,3.5,24,m,-0.1391197439210437,include,include,include,include
249730,3,4,3,4,4,6,4,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,1,3,1,4,4,3,1,4.111111111111111,2.4,NA,NA,NA,37,f,-0.13360284265812072,include,include,include,include
251939,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,3,4,4,6,3,4,3,4,5,3,3,1,4,3,3,4,4,1,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.111111111111111,3.375,3.25,28,m,0.0435008801625283,include,include,include,include
253188,3,5,5,4,6,4,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,6,6,4,6,5,6,3,5,4.9,NA,NA,NA,32,f,-0.3469623508897915,include,include,include,include
253519,5,6,6,5,6,5,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,6,5,5,2,6,1,5.333333333333333,4.6,NA,NA,NA,22,m,0.10496476345408157,include,include,include,include
254504,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,2,4,4,4,4,4,3,3,4,3,6,3,4,4,1,2,2,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5555555555555554,3.75,2.375,24,m,-0.35696411106756143,include,include,include,include
285703,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,2,3,2,5,1,6,6,4,6,6,2,5,6,6,6,5,6,6,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5555555555555554,5.125,5.375,33,m,-0.5218578414479752,include,include,include,include
287257,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,3,6,4,5,5,5,6,4,5,5,5,5,3,5,4,3,5,5,3,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4.75,3.75,21,f,-0.244906868714464,include,include,include,include
289486,5,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,5,4,5,2,4,6,5.888888888888889,4.4,NA,NA,NA,56,f,-0.2671026092992613,include,include,include,include
289105,2,4,4,4,3,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,5,5,5,5,4,5,5,3.7777777777777777,5,NA,NA,NA,32,m,-0.41412080867733414,include,include,include,include
291619,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,3,6,4,NA,4,3,6,2,4,5,3,4,3,5,1,3,3,6,3,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3.125,22,f,-0.23352539061661481,include,include,exclude,exclude
293517,3,3,4,4,6,3,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,3,4,5,4,4.5,NA,NA,NA,21,f,-0.29442305273105995,include,include,include,include
296088,6,5,4,6,6,3,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,4,1,5,4,4,6,4,5.222222222222222,4.2,NA,NA,NA,49,m,-0.2674100491713677,include,include,include,include
310835,2,3,3,3,2,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,4,3,5,1,5,6,6,2.7777777777777777,4.3,NA,NA,NA,30,m,-0.5754700685311114,include,include,include,include
310981,4,6,5,5,6,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,6,6,5,4,2,6,5,4.777777777777778,4.7,NA,NA,NA,52,m,-0.6946936015261722,include,include,include,include
311817,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,3,6,6,5,6,6,5,2,6,5,5,6,6,5,1,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.333333333333333,5,1.25,48,f,-0.42949800321825277,include,include,include,include
316021,3,6,6,6,5,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,6,5,6,2,6,6,1,4.222222222222222,4.5,NA,NA,NA,34,m,-0.1577835187770125,include,include,include,include
314655,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,6,2,5,3,5,5,3,6,2,4,1,2,5,4,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.444444444444445,4.125,3.125,19,f,-0.5061878271967456,include,include,include,include
329537,2,3,2,3,4,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,5,3,4,5,3,2.888888888888889,4.1,NA,NA,NA,17,m,-0.36196787306876493,include,include,include,include
337414,3,4,3,5,5,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,4,1,4,3,4,3,3.6666666666666665,3.2,NA,NA,NA,31,f,-0.16750006673964254,include,include,include,include
339121,3,6,4,6,6,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,6,3,6,5,5,5.333333333333333,4.6,NA,NA,NA,29,m,-0.31956271782791773,include,include,include,include
343954,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,3,6,6,5,4,6,5,4,5,2,6,6,6,4,5,2,1,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2.625,21,f,-0.21752741539003911,include,include,include,include
347838,2,5,3,4,3,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,6,4,4,3,4,NA,3.2222222222222223,4.222222222222222,NA,NA,NA,21,f,-0.7883258777157188,include,include,exclude,exclude
348671,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,2,3,3,4,2,2,2,2,3,2,2,2,3,4,5,4,4,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.888888888888889,2.25,4.125,26,m,-0.3514639286826512,include,include,include,include
354340,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,5,4,4,5,5,4,3,4,3,3,4,5,4,2,3,2,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.444444444444445,3.75,2.375,32,f,-0.32684615131438693,include,include,include,include
357132,6,4,6,6,6,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,6,6,5,6,5,5.444444444444445,5.5,NA,NA,NA,51,f,-0.6254329841185189,include,include,include,include
368445,2,6,1,1,6,3,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,1,3,6,6,NA,6,3,3.7777777777777777,4,NA,NA,NA,25,m,-0.04918924445530779,include,include,exclude,exclude
361490,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,2,3,5,5,6,3,6,3,6,6,4,5,2,3,3,3,4,4,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.111111111111111,4.375,3,41,f,0.13197495251566554,include,include,include,include
365480,6,6,6,6,6,5,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,6,5,6,3,6,4,5.444444444444445,5,NA,NA,NA,21,f,-0.3035878787294704,include,include,include,include
365691,3,5,5,5,3,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,5,6,4,6,5,5,5,4.444444444444445,4.9,NA,NA,NA,32,f,-0.20175693646017603,include,include,include,include
365766,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,2,3,5,3,4,2,4,3,5,5,3,4,2,4,2,3,4,4,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3333333333333335,3.75,2.5,20,f,-0.7801177215732966,include,include,include,include
366258,5,5,6,5,6,3,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,6,5,5,5,6,5,3,5.333333333333333,4.9,NA,NA,NA,25,m,-0.6511658072686008,include,include,include,include
372836,2,5,4,5,5,2,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,6,6,6,4,5,6,4.111111111111111,5.5,NA,NA,NA,26,f,-0.3175256049540191,include,include,include,include
388154,2,5,6,5,3,4,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,3,5,4,6,3,5,5,4.444444444444445,4.7,NA,NA,NA,19,f,-0.8023305510403469,include,include,include,include
491808,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,5,6,6,5,2,3,5,3,2,2,3,3,2,2,4,3,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.444444444444445,2.875,3.125,22,f,0.18770138067446956,include,include,include,include
418670,4,4,5,5,5,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,5,5,5,5,6,4,4,5,NA,NA,NA,17,m,-0.05574712165172399,include,include,include,include
394075,3,5,6,5,3,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,6,5,6,3,5,4,5,5.1,NA,NA,NA,21,f,0.09859022735573014,include,include,include,include
401021,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,2,2,6,6,4,5,4,3,3,5,3,2,3,4,5,6,5,6,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.333333333333333,3.375,4.5,20,f,0.23866551538855635,include,include,include,include
419450,5,4,6,6,4,5,4,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,5,6,6,4.777777777777778,5.9,NA,NA,NA,52,m,-0.29267633942500193,include,include,include,include
421489,2,5,5,3,5,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,6,6,6,5,6,6,3.888888888888889,5.7,NA,NA,NA,18,f,-0.3243352241172064,include,include,include,include
